Date,Open,High,Low,Close,Volume
2010-01-04,713.3,726.5,713.0,726.5,15139314.0
2010-01-05,723.0,747.2,723.0,737.0,27480532.0
2010-01-06,737.1,744.0,734.2,740.4,17203197.0
2010-01-07,735.1,742.4,730.1,736.5,26192633.0
2010-01-08,740.2,742.5,729.0,740.0,20725091.0
2010-01-11,740.6,746.1,728.2,730.0,21133365.0
2010-01-12,733.3,734.9,720.5,728.4,21007563.0
2010-01-13,719.4,724.5,714.1,717.7,23332229.0
2010-01-14,720.8,723.0,711.8,714.6,19050126.0
2010-01-15,718.5,726.8,699.7,704.0,69870518.0
2010-01-18,704.8,706.3,694.4,699.0,22505135.0
2010-01-19,695.1,701.0,681.2,698.3,39444726.0
2010-01-20,694.0,703.7,681.7,683.4,45300441.0
2010-01-21,688.5,699.0,675.0,675.0,49793989.0
2010-01-22,674.6,681.9,653.3,670.0,65718322.0
2010-01-25,669.0,687.3,669.0,674.8,32676295.0
2010-01-26,668.0,677.2,664.5,673.6,24198200.0
2010-01-27,667.9,673.0,654.9,663.0,42454255.0
2010-01-28,675.9,677.6,660.0,660.0,43708229.0
2010-01-29,668.0,684.9,666.0,677.3,47387629.0
2010-02-01,675.0,687.3,671.5,687.0,28223752.0
2010-02-02,684.4,690.0,678.8,683.5,26084584.0
2010-02-03,686.6,694.6,678.7,681.3,32471353.0
2010-02-04,677.2,681.0,650.1,656.0,51927893.0
2010-02-05,660.0,661.0,645.5,648.0,61022984.0
2010-02-08,655.7,657.4,638.3,648.4,45023972.0
2010-02-09,650.0,660.0,646.3,650.3,34841151.0
2010-02-10,656.9,667.9,652.6,658.2,32895372.0
2010-02-11,668.7,670.8,650.6,657.0,44115071.0
2010-02-12,659.9,660.6,642.3,649.7,34059961.0
2010-02-15,652.1,659.7,651.5,657.0,18816124.0
2010-02-16,666.8,684.6,661.9,667.8,32725723.0
2010-02-17,672.0,685.1,671.8,681.0,56376152.0
2010-02-18,680.0,689.8,677.1,685.0,20023885.0
2010-02-19,679.0,694.5,677.3,691.0,57534588.0
2010-02-22,697.3,702.6,690.1,698.8,34516740.0
2010-02-23,703.8,707.7,696.4,700.1,38034589.0
2010-02-24,703.1,719.6,702.2,717.8,47448811.0
2010-02-25,716.0,728.5,707.1,710.0,42278972.0
2010-02-26,723.0,725.0,714.0,719.6,48469631.0
2010-03-01,735.0,736.6,675.2,687.8,152629876.0
2010-03-02,692.0,700.7,683.6,700.6,81900827.0
2010-03-03,696.5,700.0,684.1,699.9,48122811.0
2010-03-04,696.0,699.3,687.5,693.4,39064052.0
2010-03-05,697.5,711.9,695.3,710.8,31924988.0
2010-03-08,706.5,707.3,699.0,705.8,24640402.0
2010-03-09,706.5,708.6,693.0,701.1,29119777.0
2010-03-10,703.0,706.8,697.5,706.1,21768116.0
2010-03-11,704.0,706.0,693.3,697.9,24724369.0
2010-03-12,694.3,694.9,681.7,684.0,47344380.0
2010-03-15,686.0,686.6,679.8,681.0,25470402.0
2010-03-16,689.0,691.3,683.3,683.5,34308790.0
2010-03-17,686.0,694.1,682.5,692.8,42103417.0
2010-03-18,688.0,688.6,680.2,681.0,32704716.0
2010-03-19,683.0,687.9,677.7,680.0,75831965.0
2010-03-22,679.0,681.3,670.7,678.1,28836633.0
2010-03-23,677.0,687.0,675.5,675.8,34882076.0
2010-03-24,680.6,680.6,667.0,674.5,40365857.0
2010-03-25,677.7,695.4,670.0,694.7,45360233.0
2010-03-26,695.3,696.3,685.7,687.7,26467586.0
2010-03-29,690.9,691.2,680.5,684.0,20972928.0
2010-03-30,688.0,688.3,669.7,670.0,45674818.0
2010-03-31,673.0,675.0,664.8,668.0,47970143.0
2010-04-01,670.6,675.4,668.5,675.4,26299116.0
2010-04-06,679.0,679.0,662.0,672.4,34661878.0
2010-04-07,673.6,680.5,670.8,677.5,28403214.0
2010-04-08,675.5,682.3,674.0,676.7,36014711.0
2010-04-09,684.6,691.9,683.4,690.6,29119246.0
2010-04-12,694.1,695.6,689.2,694.4,28461831.0
2010-04-13,693.0,695.5,685.1,695.1,27891351.0
2010-04-14,695.9,698.0,689.4,692.0,26874022.0
2010-04-15,695.0,712.8,694.3,712.3,57033713.0
2010-04-16,707.0,713.5,691.5,698.0,60827972.0
2010-04-21,691.8,694.6,678.3,682.0,45141691.0
2010-04-22,682.5,689.6,671.1,677.4,44394492.0
2010-04-23,681.0,689.8,676.9,682.0,34305074.0
2010-04-26,690.0,692.3,685.0,685.8,27205872.0
2010-04-27,684.0,686.0,665.7,665.7,38784295.0
2010-04-28,669.0,676.3,655.2,668.0,67518560.0
2010-04-29,670.4,681.2,666.8,678.0,31892347.0
2010-04-30,676.0,682.9,665.2,668.0,36278459.0
2010-05-04,669.5,672.5,652.8,660.0,48518022.0
2010-05-05,662.0,666.2,644.8,652.6,52061905.0
2010-05-06,650.0,658.6,623.0,628.4,80061976.0
2010-05-07,626.0,678.3,618.0,629.6,130466745.0
2010-05-10,665.4,684.2,659.3,671.6,85967081.0
2010-05-11,658.0,664.0,650.0,661.4,42421627.0
2010-05-13,667.9,668.0,656.3,665.1,26271325.0
2010-05-14,663.0,663.2,641.4,647.5,44670930.0
2010-05-17,646.1,662.0,644.5,649.1,32927036.0
2010-05-18,657.1,662.2,648.6,650.6,25182968.0
2010-05-19,645.0,648.8,634.0,638.1,51105273.0
2010-05-20,641.0,649.9,622.4,632.0,50618316.0
2010-05-21,628.8,632.2,610.8,629.2,74298072.0
2010-05-24,634.6,637.1,622.4,630.7,24765859.0
2010-05-25,619.1,625.9,611.3,619.5,42583524.0
2010-05-26,627.6,630.0,617.4,617.8,46470215.0
2010-05-27,624.1,636.8,619.2,634.3,34648971.0
2010-05-28,638.5,640.0,627.0,627.8,35776668.0
2010-06-01,622.2,635.5,622.2,635.5,50609420.0
2010-06-02,626.0,633.9,622.0,633.8,23121252.0
2010-06-03,637.0,644.9,634.8,639.4,26304218.0
2010-06-04,638.1,644.8,623.4,630.1,33183286.0
2010-06-07,623.0,636.9,623.0,629.4,39335433.0
2010-06-08,632.9,634.3,623.0,633.0,43287886.0
2010-06-09,639.1,642.0,631.0,641.6,35039738.0
2010-06-10,636.3,649.6,632.7,644.5,30811211.0
2010-06-11,644.0,651.8,633.5,646.8,38631151.0
2010-06-14,647.4,653.5,644.3,651.3,22551560.0
2010-06-15,643.7,654.0,640.6,651.75,26888072.0
2010-06-16,656.9,656.9,643.5,648.5,30884372.0
2010-06-17,645.4,659.2,644.4,648.9,24300275.0
2010-06-18,646.0,652.8,640.0,652.5,63911042.0
2010-06-21,659.9,662.8,655.5,659.5,23268408.0
2010-06-22,655.0,660.9,647.5,659.2,30755958.0
2010-06-23,653.9,660.7,648.7,651.8,24116499.0
2010-06-24,653.3,655.1,636.6,637.1,22581107.0
2010-06-25,640.9,651.7,640.5,641.8,23338716.0
2010-06-28,641.7,647.9,631.6,639.0,21607871.0
2010-06-29,627.8,629.4,612.4,615.5,33068642.0
2010-06-30,618.0,627.0,612.4,615.2,34533144.0
2010-07-01,608.0,612.7,597.7,599.1,30783102.0
2010-07-02,607.2,612.2,596.8,600.1,26166017.0
2010-07-05,603.6,606.7,595.5,596.2,17623297.0
2010-07-06,601.2,617.0,599.0,611.39,28499535.0
2010-07-07,607.0,616.1,595.2,614.7,35794915.0
2010-07-08,616.5,629.5,612.5,623.2,32403073.0
2010-07-09,625.2,635.2,622.1,627.1,25029499.0
2010-07-12,630.0,637.3,623.6,632.4,14964579.0
2010-07-13,634.0,648.1,632.2,644.4,27093745.0
2010-07-14,641.7,642.2,632.7,639.7,22445041.0
2010-07-15,633.8,645.6,629.5,637.5,38153949.0
2010-07-16,635.3,636.9,620.0,623.0,39291484.0
2010-07-19,620.9,632.4,616.4,623.1,18903719.0
2010-07-20,628.9,629.9,617.2,627.8,22260143.0
2010-07-21,633.9,643.2,631.6,638.0,26974343.0
2010-07-22,638.2,655.1,637.9,655.0,27803300.0
