Date,Open,High,Low,Close,Volume
2010-01-04,278.5,281.6,275.05,280.47,34238569
2010-01-05,281.95,300.85,279.5,298.1,85406934
2010-01-06,300.35,307.0,295.4,307.0,62963722
2010-01-07,306.95,318.95,303.9,315.5,74001133
2010-01-08,322.0,326.0,318.35,320.55,71919378
2010-01-11,324.0,328.5,316.3,317.0,47128189
2010-01-12,316.25,318.55,311.65,318.55,42832890
2010-01-13,312.25,314.3,310.5,313.7,53865071
2010-01-14,317.6,322.0,315.75,322.0,41334651
2010-01-15,318.3,322.1,310.5,311.2,89774857
2010-01-18,313.0,319.25,310.0,319.25,40341671
2010-01-19,313.5,315.0,308.6,312.1,68023912
2010-01-20,308.25,310.6,297.9,300.85,71745431
2010-01-21,302.15,305.25,283.0,283.0,106879451
2010-01-22,279.0,280.0,255.1,256.13,168678964
2010-01-25,267.0,280.85,265.15,277.0,64554326
2010-01-26,273.0,278.25,267.5,278.0,49172453
2010-01-27,271.8,272.65,262.45,266.85,66352082
2010-01-28,273.95,281.8,264.95,280.0,85548366
2010-01-29,269.0,276.1,266.5,267.42,58574937
2010-02-01,270.0,282.9,267.25,279.88,49795822
2010-02-02,283.65,291.8,283.5,288.0,52355035
2010-02-03,294.7,301.0,292.1,295.35,78449320
2010-02-04,293.0,295.8,271.3,272.2,102518854
2010-02-05,270.0,279.2,257.0,269.0,102077371
2010-02-08,273.05,278.0,257.7,268.0,64922492
2010-02-09,266.65,277.75,262.7,269.3,53937145
2010-02-10,272.8,281.9,272.8,281.9,59986102
2010-02-11,280.2,282.0,264.5,268.35,70159869
2010-02-12,268.8,272.65,255.0,271.2,71391811
2010-02-15,266.2,275.45,265.25,272.38,42129859
2010-02-16,301.65,301.65,290.0,301.0,110131566
2010-02-17,303.05,305.75,297.6,302.3,72645480
2010-02-18,300.0,312.4,298.5,309.3,64731418
2010-02-19,303.0,314.0,301.5,312.25,78958352
2010-02-22,315.15,320.8,313.6,316.25,63102914
2010-02-23,316.55,321.7,308.85,320.0,59472019
2010-02-24,309.2,314.9,305.0,314.5,54144317
2010-02-25,308.0,315.0,303.45,306.85,45820945
2010-02-26,309.55,313.0,306.1,313.0,50786040
2010-03-01,319.0,319.65,303.0,315.65,56997933
2010-03-02,313.45,322.95,311.4,321.8,54485075
2010-03-03,320.0,331.85,320.0,328.0,57431833
2010-03-04,325.5,338.75,324.3,333.1,57835419
2010-03-05,336.4,343.5,335.25,341.4,60548655
2010-03-08,344.0,347.95,339.0,345.0,103486204
2010-03-09,344.0,347.5,335.5,347.5,57723584
2010-03-10,340.0,350.9,336.25,347.85,85839969
2010-03-11,344.0,348.9,340.65,343.75,46949431
2010-03-12,346.5,354.55,344.4,351.27,67443379
2010-03-15,350.0,351.5,345.15,350.5,46213988
2010-03-16,352.0,358.1,351.2,357.45,58982657
2010-03-17,360.6,362.5,356.35,359.4,47999909
2010-03-18,353.8,357.85,350.95,357.66,61229846
2010-03-19,357.0,363.35,356.15,357.6,94565560
2010-03-22,355.0,356.95,348.55,353.6,47928544
2010-03-23,355.4,362.0,355.0,357.9,39604603
2010-03-24,361.5,362.25,352.7,361.94,47044887
2010-03-25,357.75,368.1,357.6,365.1,47755576
2010-03-26,366.3,370.6,364.35,367.55,34671906
2010-03-29,368.5,370.55,361.3,366.85,31367385
2010-03-30,370.45,370.7,354.95,358.0,58356537
2010-03-31,357.0,360.5,354.65,358.65,50852107
2010-04-01,362.5,364.75,359.55,362.45,27419258
2010-04-06,363.0,365.55,359.45,364.2,27051248
2010-04-07,361.2,364.3,359.15,361.55,29476447
2010-04-08,359.0,359.9,350.2,359.5,38249539
2010-04-09,361.0,362.2,352.55,353.0,43215194
2010-04-12,358.45,365.2,357.5,363.25,38573251
2010-04-13,362.4,366.0,360.55,363.0,21881330
2010-04-14,365.05,374.4,360.25,373.5,73046110
2010-04-15,375.85,384.95,375.55,380.0,76936917
2010-04-16,381.0,394.25,367.75,371.0,115438987
2010-04-21,376.9,378.0,365.25,365.85,60289356
2010-04-22,365.5,367.0,356.3,359.7,62551704
2010-04-23,361.0,366.55,357.6,362.3,43957867
2010-04-26,369.0,376.15,367.45,373.6,68501130
2010-04-27,371.95,376.2,357.2,357.2,91049271
2010-04-28,353.2,358.65,340.1,356.35,94058273
2010-04-29,354.0,365.0,350.0,364.45,54894025
2010-04-30,345.0,351.15,334.5,338.67,156266180
2010-05-04,338.0,342.35,321.0,323.0,75485914
2010-05-05,322.0,325.65,311.85,322.75,106964284
2010-05-06,318.5,323.7,298.25,301.7,105377678
2010-05-07,287.0,299.0,275.1,297.39,185313400
2010-05-10,327.95,334.35,304.0,332.1,177749031
2010-05-11,316.1,326.2,314.3,325.67,74791412
2010-05-13,330.95,332.0,322.3,332.0,48621532
2010-05-14,326.85,326.85,305.55,310.19,80134925
2010-05-17,306.25,314.0,299.85,304.7,62465550
2010-05-18,311.0,313.4,303.9,305.85,49765812
2010-05-19,299.15,301.05,285.0,300.0,80475863
2010-05-20,294.5,303.85,282.25,301.6,128769649
2010-05-21,290.0,300.55,280.1,298.73,96178118
2010-05-24,298.0,306.45,294.1,303.15,51013219
2010-05-25,286.0,290.1,277.75,283.8,72803205
2010-05-26,292.0,305.15,290.6,298.45,81827318
2010-05-27,304.0,310.0,295.6,307.83,69102375
2010-05-28,310.5,313.4,304.8,305.1,49158995
2010-06-01,307.1,307.9,290.75,301.46,59479014
2010-06-02,299.0,300.75,291.55,296.5,40014059
2010-06-03,302.0,307.35,297.15,306.0,50151995
2010-06-04,301.75,307.05,283.5,288.6,64304741
2010-06-07,282.6,291.5,276.35,285.9,55038607
2010-06-08,288.25,289.6,272.7,284.0,58570423
2010-06-09,280.85,282.85,273.2,280.2,63347772
2010-06-10,278.1,292.0,277.55,292.0,68946072
2010-06-11,291.65,293.75,284.7,291.92,38962939
2010-06-14,294.95,301.55,293.1,298.15,38352580
2010-06-15,294.95,308.65,294.95,306.8,40766607
2010-06-16,310.5,313.85,302.65,304.85,41397353
2010-06-17,304.45,316.0,303.85,316.0,45027271
2010-06-18,311.7,317.7,309.0,316.0,62704974
2010-06-21,316.5,320.25,314.0,317.1,46405152
2010-06-22,312.2,313.4,303.75,311.5,58970975
2010-06-23,305.5,311.25,298.5,300.8,39241961
2010-06-24,304.5,304.55,287.0,287.0,42002908
2010-06-25,289.0,293.0,280.0,281.2,46802480
2010-06-28,283.65,287.75,276.55,284.0,45755440
2010-06-29,281.0,282.95,265.15,269.18,65938071
2010-06-30,267.6,279.45,262.45,270.55,71782889
2010-07-01,260.2,267.85,253.4,265.84,86684470
2010-07-02,260.0,272.1,258.1,268.45,50548398
2010-07-05,266.2,268.9,259.2,259.2,32397180
2010-07-06,261.85,276.65,261.25,271.75,59821354
2010-07-07,270.0,291.6,267.15,291.6,73183930
2010-07-08,296.15,306.05,296.0,302.0,84776147
2010-07-09,303.0,305.2,296.25,300.95,48347883
2010-07-12,301.0,303.7,296.0,299.95,25622076
2010-07-13,301.55,312.85,300.4,307.37,42248143
2010-07-14,315.95,316.25,306.55,313.5,41375137
2010-07-15,312.5,313.0,298.2,300.35,49833849
2010-07-16,301.2,301.4,282.9,295.35,68531641
2010-07-19,281.65,290.6,275.75,285.3,47650053
2010-07-20,288.7,288.7,276.5,284.85,45036179
